name,split,category,sub-category,Oneshot-Multi,freesound-id,url,username,original-tags,description
00001.wav,train,Footstep,Walk,Multi-shot,396055,https://freesound.org/people/EricsSoundschmiede/sounds/396055/,EricsSoundschmiede,"barefoot, footstep, step, walk, wood, wooden-floor",walking around barefoot
00002.wav,train,Break/Drop,PaperTear,Multi-shot,596862,https://freesound.org/people/Pepe827/sounds/596862/,Pepe827,"escuela, hoja, office, oficina, papel, paper, school, sheet",hoja de papel rompiendose / tearing sheet of paper
00003.wav,train,Human,Snore,One-shot,650996,https://freesound.org/people/JeanPhiPoli/sounds/650996/,JeanPhiPoli,"animal, dog, frenchbulldog, pet, snoring",French bulldog snoring
00004.wav,train,Liquid,Faucet,Multi-shot,206168,https://freesound.org/people/ahill86/sounds/206168/,ahill86,"glass, pour, rinse, sink, splash, water","Pouring liquid into the sink and then rinsing the glass out. ----------- These sounds are part of the Compose with Sounds Kitchen Soundpack. Compose with Sounds is a software program for young composers (and composers of all ages) who would like to learn how to compose with sounds, and not focus on the traditional manner of music making with notes. Compose with Sounds is available free of charge. It runs on Mac OSx (from 10.6), Windows XP and Windows 7. For more information and to download the software visit: <a href=""http://cws.dmu.ac.uk/EN/1"" rel=""nofollow"">http://cws.dmu.ac.uk/EN/1</a>"
00005.wav,train,Material-Interaction,ZipperZip,Multi-shot,584601,https://freesound.org/people/AdrianoAnjos/sounds/584601/,AdrianoAnjos,"backpack, bag, coat, jacket, jeans, luggage, unzip, unzipping, zip, zipper, zipping",Zipper sound effect recorded using a handy recorder zoom h5
00006.wav,train,Footstep,SingleStep,One-shot,517143,https://freesound.org/people/Wdomino/sounds/517143/,Wdomino,"footstep, leaves, shoe, step",Footstep leaves 4
00007.wav,train,Metal,Lock,Multi-shot,724003,https://freesound.org/people/TSP-Talk/sounds/724003/,TSP-Talk,"close, door, knob, livingroom, lock, open","Open and close of a door knob. 96 kHz, 32-bit float, Rode NTG 5, Zoom F6"
00008.wav,train,Footstep,Walk,Multi-shot,350897,https://freesound.org/people/thaighaudio/sounds/350897/,thaighaudio,"creak, creaking, footstep, staircase, stairs, step, walk, wood",Walking down two flights of stairs in the stairwell of my circa 1920s apartment building. Take 1 of 2. Recorded using an Audio Technica AT-4022 microphone (with Rycote windshield) into a Tascam DR-40 recorder.
00009.wav,train,Liquid,Shower,One-shot,486441,https://freesound.org/people/cabaret/sounds/486441/,cabaret,"bath, bathroom, faucet, shower, water",shower on and off
00010.wav,train,Metal,Knife,Multi-shot,244258,https://freesound.org/people/bajko/sounds/244258/,bajko,"blade, knife, scrape, sharpening, wapon",This is the scrape sound of kitchen knife. Recorded by Neumann M149.
00011.wav,train,Break/Drop,BottleCrush,Multi-shot,762419,https://freesound.org/people/FOSSarts/sounds/762419/,FOSSarts,"container, crush, crushing, empty-bottle, empty-plastic-bottle, plastic, plastic-bottle, water-bottle",Used empty 12oz water bottles with thin plastic layers for this SFX. Equipment: Zoom H1 essential
00012.wav,train,Footstep,SingleStep,One-shot,504211,https://freesound.org/people/Joao_Janz/sounds/504211/,Joao_Janz,"barefoot, boots, dirt, fast, feet, floor, foley, foot, footstep, forest, gravel, ground, hard, nature, outdoor, park, real, running, shoe, slide, slow, sneakers, soft, sound, stepping, walk",Recorded and processed at 24bit 48kHz using the Tascam DR-40 Linear PCM Recorder. Processing: Gain-staging and soft high and low frequency filtering. No EQ boost or cuts anywhere else. Also De-noised.
00013.wav,train,Liquid,Pour,Multi-shot,512236,https://freesound.org/people/kijjaz/sounds/512236/,kijjaz,"bathroom, plumbing, spray, toilet, water",Spraying Water into the Toilet
00014.wav,train,Footstep,Walk,Multi-shot,705748,https://freesound.org/people/felix.blume/sounds/705748/,felix.blume,"branch, desert, footstep, gravel, hum, pebble, road, sand, stepping, step, todossantos, twig, walk","Footsteps wearing sneakers stepping on sand, gravel pebble twig and branch in the desert with road hum Sound recorded by a MS setup Schoeps Microphone CCM41&amp;CCM8; Sound Devices 744T recorder MS is encoded in STEREO Left-Right Sound reference: KT_111117T008 Recorded in November 2011"
00015.wav,train,Click,SwitchToggle,Multi-shot,620317,https://freesound.org/people/HarrisonG024/sounds/620317/,HarrisonG024,"light, sound, switch",Light Switch Sound Effect
00016.wav,train,Liquid,Splash,Multi-shot,316567,https://freesound.org/people/EpicWizard/sounds/316567/,EpicWizard,"lake, river, splash, water","Part of a collection of sounds of paddle strokes in the water, a series ranging from soft to heavy. Recorded with a Zoom h4 in Okanagan, BC. If you download the whole pack, you can take advantage of the quick and dirty Kontakt inst I put together: <a href=""https://www.dropbox.com/s/qu0ra8s96tk1ifo/Water_Paddle_KontaktInst_150715.zip?dl=0"" rel=""nofollow"">https://www.dropbox.com/s/qu0ra8s96tk1ifo/Water_Paddle_KontaktInst_150715.zip?dl=0</a> If can come up with something fancier, let me know. :)"
00017.wav,train,Material-Interaction,PlasticRubbing,Multi-shot,585862,https://freesound.org/people/SmirnoffLulo/sounds/585862/,SmirnoffLulo,"bag, bolsa, noise, plastic, plastico, ruido",Ruido de una bolsa de plástico [Noise of a plastic bag] The sound was recorded with a mobile phone and edited with reaper
00018.wav,train,Break/Drop,MetalDrop,Multi-shot,413288,https://freesound.org/people/Timmeh515/sounds/413288/,Timmeh515,"drop, floor, hit, screws",Multiple screws of varying sizes being dropped on the floor
00019.wav,train,Human,Cough,Multi-shot,732014,https://freesound.org/people/SoundBiterSFX/sounds/732014/,SoundBiterSFX,"ahem, ahem-ahem, attention, bellboy, cold, cough, coughing, dad-cough, flu, gentleman, gentlemen, ill, loud-cough, loud-coughing, male, man, obnoxios-cough, obnoxious, old-man, service, sick, tip, tipping, unhealthy, valet",Stoopid: A Gentleman's Cough Voiced (Coughed) and Produced by: VoiceBosch (SoundBiter) Support my work by subscribing to: <a href="https://www.youtube.com/@SoundBiter" rel="nofollow">https://www.youtube.com/@SoundBiter</a> Website: <a href="https://www.voicebosch.com/soundbiter" rel="nofollow">https://www.voicebosch.com/soundbiter</a> Contact: voicebosch@gmail.com
00020.wav,train,Human,Kiss,One-shot,617590,https://freesound.org/people/sweet_niche/sounds/617590/,sweet_niche,"cartoon, fart, gross, kiss, poot, slop, splat, squeeze, squish, suck, suction",Playing with and handling flarp.
00021.wav,train,Footstep,Walk,Multi-shot,705516,https://freesound.org/people/felix.blume/sounds/705516/,felix.blume,"descending, dirt, far, fast, footstep, gravel, passing, path, plane, step, walk","Footsteps with sneakers on dirt path gravel, walking fast descending near 29 Palms monument, with plane passing far at the beginning Sound recorded by a MS setup Schoeps Microphone CCM41&amp;CCM8; Sound Devices 788T Recorder MS is encoded in STEREO Left-Right Sound reference: KT_120915T016 Recorded in September 2012 in California, USA"
00022.wav,train,Material-Interaction,ZipperZip,Multi-shot,644003,https://freesound.org/people/Duisterwho/sounds/644003/,Duisterwho,"backpack, bag, closing, cloth, coat, dressed, jacket, jeans, metal, opening, pants, rustle, steel, tent, texture, undress, undressing, unzip, wear, zip, zipper",Recorded on Samson C01UPRO condenser mic
00023.wav,train,Footstep,Walk,Multi-shot,169147,https://freesound.org/people/EddieGoodnight/sounds/169147/,EddieGoodnight,"foot, gravel, step, walk",Foot steps walking on gravel enjoy.
00024.wav,train,Click,SwitchToggle,Multi-shot,484068,https://freesound.org/people/SpaceJoe/sounds/484068/,SpaceJoe,"band, button, control, controller, dial, leaver, switch, toggle, trigger",Switches being toggled and pressed in various ways
00025.wav,train,Liquid,Faucet,One-shot,741087,https://freesound.org/people/FOSSarts/sounds/741087/,FOSSarts,"opening-water-supply, outdoor-plumbing, outdoor-water-faucet, plumbing, water, water-faucet",used the outdoor water hose faucet that has 2 way splitter on it. Used the water supply through one of the splitters for these recordings. Raw and unedited Equipment: Zoom H1 essential
